CLAVE,UBICACIÓN,ESTADO,MUNICIPIO,POBLACION,LATITUD,LONGITUD,CP,TX,EN HUELLA MBB,USUARIOS ACTIVOS MBB,THP MBB (Mbps)
10074,10074-AGUA-CALIENTE-BOSQUES,Baja California,Tijuana,"9,820",32.501694,-117.0055,22025,FO,MBB,57,12.191
10075,010075-ALBA-ROJA,Baja California,Tijuana,"13,751",32.50009,-116.979,22106,FO,MBB,185,12.956
10076,010076-BUENOS-AIRES,Baja California,Tijuana,"13,840",32.50021,-116.8894444,22206,FO,MBB,450,9.851
10077,010077-SCENICA,Baja California,Playas de Rosarito,"7,279",32.36135,-117.0553,22707,MW,MBB,422,8.752
10078,010078-LA-CAMPINA,Baja California,Tijuana,"15,074",32.46646,-116.91598,22225,FO,MBB,363,8.180
10079,010079-CHILPANCINGO,Baja California,Tijuana,"6,346",32.52296,-116.89747,22200,FO,MBB,429,3.047
10080,010080-QUETZALCOATL,Baja California,Playas de Rosarito,"7,260",32.41528,-117.05736,22705,FO,MBB,198,6.955
10081,010081-DEL-VALLE,Baja California,Tijuana,"10,170",32.488106,-116.964255,22117,FO,MBB,164,11.012
10082,010082-CALLE-14,Baja California,Tijuana,"8,900",32.53851,-117.00398,22400,FO,MBB,322,5.403
10083,010083-CONSTITUCION,Baja California,Tijuana,"7,803",32.480468,-116.9314,22120,FO,MBB,88,9.125
10084,010084-GUAYCURA,Baja California,Tijuana,"9,528",32.4907,-116.91098,22215,FO,MBB,218,10.095
10085,010085-BONFIL,Baja California,Playas de Rosarito,"11,221",32.348378,-117.044129,22707,MW,MBB,358,6.882
10086,010086-VALLARTA,Baja California,Tijuana,"9,930",32.539238,-116.991213,22404,FO,MBB,272,5.132
10087,010087-PASEOS-2000,Baja California,Tijuana,"10,401",32.4915,-116.85351,22236,FO,MBB,486,7.887
10088,010088-PASEO-DEL-RIO,Baja California,Tijuana,"6,566",32.47578,-116.92464,22225,FO,MBB,372,4.630
10089,010089-LEYVA,Baja California,Tijuana,"16,753",32.48307,-117.02339,22635,FO,MBB,272,10.283
10090,010090-RIO-SALINAS,Baja California,Tijuana,"5,476",32.47333,-116.98057,22190,FO,MBB,350,9.677
10091,010091-AMPARO-SANCHEZ,Baja California,Tijuana,"3,473",32.45063,-116.95725,22183,FO,MBB,259,6.251
10092,010092-TECOLOTE,Baja California,Tijuana,"14,036",32.44552,-116.99564,22645,FO,MBB,507,5.991
10093,010093-ALBERCAS-VERGEL,Baja California,Tijuana,"3,833",32.50962,-116.94111,22226,MW,MBB,59,7.902
10095,010095-RAMPA-TELEVISORAS,Baja California,Tijuana,"16,804",32.503554,-117.047229,22620,FO,MBB,125,13.114
10096,010096-MACIAS,Baja California,Tijuana,"4,637",32.508671,-117.097553,22525,FO,MBB,57,12.074
10097,010097-MARLIN,Baja California,Tijuana,"6,559",32.42834,-117.09571,22566,MW,MBB,79,14.758
10098,010098-CEMEX,Baja California,Tijuana,"7,182",32.53483,-116.91614,22444,FO,MBB,317,7.432
10099,010099-SANTA-FE,Baja California,Tijuana,"5,225",32.45077,-117.061,22564,FO,MBB,887,6.562
10100,010100-LAS-FLORES,Baja California,Tijuana,"12,625",32.50205,-117.0708,22524,FO,MBB,200,13.600
10101,010101-LOS-LAURELES,Baja California,Tijuana,"11,371",32.47354,-116.8148,22254,FO,MBB,891,6.066
10102,010102-VILLA-DEL-ALAMO,Baja California,Tijuana,"6,980",32.4383,-116.93661,22163,MW,MBB,654,7.602
10103,010103-LAS-ABEJAS,Baja California,Tijuana,"5,377",32.46359,-116.85394,22245,FO,MBB,744,7.835
10104,010104-MACROPLAZA,Baja California,Tijuana,"5,969",32.4979,-116.93195,22217,FO,MBB,263,6.774
10105,010105-LOS-ALPES,Baja California,Tijuana,"5,601",32.48029,-116.91109,22223,FO,MBB,79,8.168
10106,010106-TERRENO-CIMA,Baja California,Tijuana,"11,074",32.53955,-116.9053,22203,FO,MBB,259,7.186
10107,010107-COLINAS-DEL-SOL,Baja California,Tijuana,"4,995",32.46609,-117.04004,22660,FO,MBB,156,7.011
10108,010108-1331-TIJUANA,Baja California,Tijuana,"9,875",32.52651,-117.07491,22536,FO,MBB,151,7.381
10109,010109-CARRIZALEJO,Baja California,Tijuana,"7,808",32.46457,-117.1126,22557,MW,MBB,285,10.170
10110,010110-PARALELO,Baja California,Tijuana,"5,524",32.51405833,-116.8696,22204,FO,MBB,462,8.979
10111,010111-DESHUESADERO-LA-GLORIA,Baja California,Tijuana,"10,524",32.44497,-117.02291,22645,FO,MBB,466,10.257
10112,010112-ANEXA-HERRERA,Baja California,Tijuana,"16,172",32.52008,-117.06297,22614,FO,MBB,138,9.007
10113,010113-CANON-MEXICO,Baja California,Tijuana,"6,660",32.520952,-117.038575,22056,FO,MBB,206,10.004
10114,010114-MEXITLAN,Baja California,Tijuana,"12,910",32.53614,-117.03296,22010,FO,MBB,461,6.073
10115,010115-SAN-ANGEL,Baja California,Tijuana,"12,957",32.48732,-117.07235,22607,FO,MBB,156,7.885
10116,010116-BUENA-VISTA,Baja California,Tijuana,"8,660",32.52274,-116.98624,22414,FO,MBB,128,7.173
10117,010117-LA-SIRENA-EJIDO-CHILP,Baja California,Tijuana,"7,404",32.548759,-116.9292,22435,FO,MBB,745,6.858
10118,010118-VILLAS-DEL-PRADO,Baja California,Tijuana,"3,314",32.4293,-117.06184,22665,FO,MBB,93,13.923
10119,010119-PASEO-DE-LAS-TORRES,Baja California,Tijuana,"10,262",32.500872,-116.877661,22206,FO,MBB,242,12.412
10120,010120-INDUSTRIAL-LA-MESA,Baja California,Tijuana,"4,970",32.47861,-116.94969,22180,FO,MBB,360,6.288
10121,010121-CIENEGA,Baja California,Tijuana,"8,145",32.48853,-116.93858,22120,FO,MBB,192,5.713
10123,010123-HERRADURA,Baja California,Tijuana,"5,369",32.434013,-117.00865,22654,FO,MBB,151,7.736
10124,010124-RANCHO-ALAMO-BONITO,Baja California,Tijuana,"5,559",32.45103,-116.68185,22263,MW,MBB,383,6.176
10125,010125-FRANCISCO-VILLA,Baja California,Tijuana,"7,338",32.48403,-116.85799,22236,FO,MBB,712,8.481
10126,010126-PACIFICO,Baja California,Tijuana,"7,422",32.46432,-116.98297,22190,FO,MBB,332,9.082
10127,010127-1305-TIJUANA,Baja California,Tijuana,"2,124",32.490225,-117.033952,22626,FO,MBB,137,12.858
10128,010128-ESTABLO-LEON-TKT,Baja California,Tijuana,"9,109",32.46654,-116.72937,22255,MW,MBB,103,12.439
10129,010129-PUERTA-DE-HIERRO,Baja California,Tijuana,"14,689",32.50785,-116.99075,22024,MW,MBB,140,11.866
10130,010130-TERRAZAS-DE-LA-PRESA,Baja California,Tijuana,"4,778",32.44778,-116.91516,22124,FO,MBB,327,8.234
10131,010131-ROSARITO,Baja California,Tijuana,"11,819",32.41394,-116.92818,22163,MW,MBB,1383,8.297
10132,010132-TOYOTA-ANTES-TOYOTA-2,Baja California,Tijuana,"6,018",32.52284,-116.70818,21503,MW,MBB,651,7.697
10133,010133-DIAZ-ORDAZ,Baja California,Tijuana,"13,067",32.46697,-116.92803,22123,FO,MBB,249,4.754
10135,010135-CHIAPANECOS,Baja California,Tijuana,"12,287",32.476246,-116.881856,22234,FO,MBB,392,7.739
10136,010136-CUAUHTEMOC,Baja California,Tijuana,"14,683",32.52412,-117.01962,22010,MW,MBB,234,8.013
10137,010137-CAMESTRE,Baja California,Tijuana,"5,212",32.51266667,-117.0021389,22014,FO,MBB,64,11.406
10138,010138-VALLE-BONITO,Baja California,Tijuana,"14,872",32.43726,-116.87289,22250,MW,MBB,327,7.803
